Time,aX,aY,aZ,gX,gY,gZ,Prs,mX,mY,mZ,state
0.451,-0.459961,0.309082,9.019043,2.799335045,1.52379403,-11.32483355,101345.0012,0.118868,0.171633,0.598512,1
0.461,-0.439453,0.456055,9.020508,1.274944045,-0.73230297,-19.00776055,101320.0012,0.115234,0.174736,0.59779,1
0.471,-0.069336,-0.081055,9.194336,-2.810421955,-1.46401097,-2.239467545,101320.0012,0.119015,0.167896,0.600838,1
0.481,-0.146973,0.226562,9.064453,1.335920045,0.67013603,-5.288248545,101348.999,0.135549,0.164752,0.593514,1
0.491,-0.357422,-0.070312,9.168945,4.201774045,2.43842803,-2.300443545,101300,0.116712,0.17308,0.592384,1
0.501,-0.376465,0.222656,9.299316,4.201774045,0.06038003,-18.39800555,101335.9985,0.117645,0.170141,0.600025,1
0.511,0.040527,0.594238,9.271973,3.470066045,-2.62254697,-7.239468545,101340.0024,0.118729,0.169518,0.598069,1
0.521,0.014648,0.739258,9.380859,5.177383045,-0.73230297,18.67516645,101332.0007,0.113595,0.170829,0.598607,1
0.531,-0.12793,0.083984,9.562012,3.531042045,-0.18352297,9.528824455,101295.0012,0.133498,0.162154,0.589895,1
0.541,-0.146484,0.248047,9.649414,6.945676045,-0.06157197,11.90687345,101311.9995,0.120667,0.164074,0.600539,1
0.551,-0.31543,0.026855,9.852539,9.750554045,-2.13474197,12.39467945,101295.0012,0.114159,0.169679,0.598488,1
0.561,-0.299316,0.481445,10.116699,10.90909105,-3.84205997,11.35809345,101311.9995,0.117159,0.163941,0.602268,1
0.571,-0.123535,0.540527,10.474609,9.689579045,-2.25669397,9.650775455,101308.0017,0.120332,0.161898,0.598305,1
0.581,-0.258789,0.239258,10.791504,11.33592005,0.12135503,8.675166455,101308.0017,0.132417,0.159715,0.59042,1
0.591,-0.467773,0.160156,11.087891,14.01884705,-0.67132797,7.699556455,101278.9978,0.118518,0.161088,0.592973,1
0.601,-0.556152,0.339844,11.353027,17.12860305,-2.31766897,6.297117455,101283.0017,0.132749,0.151114,0.594328,1
0.611,-0.208496,0.491211,11.391113,16.82372605,-2.50059597,4.772727455,101311.9995,0.119777,0.15904,0.594648,1
0.621,-0.17334,0.325684,11.426758,17.31153105,-0.24449897,3.309312455,101308.0017,0.113902,0.159964,0.597822,1
0.631,-0.324707,0.242188,11.438477,18.71397005,0.60916003,2.150776455,101283.0017,0.135459,0.144187,0.594278,1
0.641,-0.504883,0.192383,11.40332,21.94567705,-0.73230297,1.236142455,101246.0022,0.118914,0.149993,0.597486,1
0.651,-0.335938,0.413574,11.427734,23.47006605,-1.89083997,0.077605455,101283.0017,0.128742,0.149556,0.592777,1
0.661,-0.134766,0.35791,11.399414,23.47006605,-1.40303497,-0.593126545,101308.0017,0.122131,0.14686,0.600728,1
0.671,-0.280273,0.14209,11.374023,24.93348105,0.91403803,-1.873614545,101259.0027,0.119069,0.146783,0.60573,1
0.681,-0.438965,0.20459,11.316406,27.43348105,-0.42742497,-2.239467545,101271.0022,0.128193,0.142662,0.592551,1
0.691,-0.315918,0.313965,11.297363,28.77494405,-1.95181597,-2.971175545,101253.9978,0.12261,0.140186,0.604955,1
0.701,-0.188477,0.365234,11.23584,28.95787205,-1.09815697,-3.641906545,101266.9983,0.134433,0.12947,0.595855,1
0.711,-0.196777,0.146973,11.209961,29.26275105,0.54818403,-4.129711545,101238.0005,0.120671,0.138449,0.599925,1
0.721,-0.380371,0.084961,11.196289,30.78714005,0.42623303,-4.495565545,101234.0027,0.121531,0.131724,0.610381,1
0.731,-0.378418,0.171387,11.150391,32.73835905,-1.03718197,-4.983370545,101246.0022,0.132519,0.125156,0.599932,1
0.741,-0.248047,0.266113,11.127441,33.04323805,-1.76888897,-5.349224545,101246.0022,0.116872,0.132647,0.599528,1
0.751,-0.104004,0.188477,11.098633,32.98226205,-0.36644997,-5.715077545,101221.9971,0.136731,0.11966,0.601515,1
0.761,-0.271973,0.114258,11.103516,33.95787205,0.60916003,-5.898004545,101226.001,0.122526,0.122857,0.604441,1
0.771,-0.347656,0.039551,11.133301,35.36031105,-0.54937697,-6.141906545,101204.9988,0.116468,0.126026,0.605959,1
0.782,-0.324707,0.115723,11.135254,36.33592005,-1.76888897,-6.385809545,101238.0005,0.131282,0.116244,0.60104,1
0.792,-0.148926,0.147461,11.103027,36.21396805,-1.52498597,-6.751663545,101184.9976,0.119251,0.114557,0.608538,1
0.802,-0.206055,0.144531,11.069824,36.57982405,-0.00059597,-7.117516545,101192.9993,0.115975,0.114793,0.611628,1
0.812,-0.349609,0.045898,11.021484,37.67738505,-0.12254697,-7.117516545,101192.9993,0.121085,0.106647,0.615677,1
0.822,-0.347168,0.038086,11.020508,38.53104205,-1.52498597,-7.544345545,101171.9971,0.118887,0.104,0.613473,1
0.832,-0.196777,0.058594,10.979004,38.53104205,-2.31766897,-7.849224545,101159.9976,0.130397,0.098954,0.600513,1
0.842,-0.097656,0.069824,10.959473,38.89689805,-1.15913297,-8.215077545,101159.9976,0.120191,0.094909,0.615977,1
0.852,-0.276855,-0.009277,10.992188,39.50665105,-0.00059597,-8.702882545,101147.998,0.118235,0.096817,0.616878,1
0.862,-0.327148,-0.069336,10.924316,40.05543305,-1.22010797,-9.007760545,101147.998,0.116231,0.098522,0.614081,1
0.872,-0.265137,-0.07373,10.915039,40.42128605,-2.62254697,-9.434590545,101135.9985,0.120391,0.086942,0.620563,1
0.882,-0.120117,0.027832,10.80957,40.36031105,-2.07376697,-9.800443545,101115.0024,0.136415,0.078693,0.609634,1
0.892,-0.225586,-0.094727,10.796387,40.48226305,-0.97620597,-9.739467545,101122.998,0.118358,0.086236,0.608636,1
