X	Y	Z
-0.4118	9.71088	0.05267
-0.40223	9.71567	0.06225
-0.44532	9.7444	0.11492
-0.42617	9.72525	0.09577
-0.41659	9.72525	0.09577
-0.42617	9.71567	0.09098
-0.42617	9.73004	0.0814
-0.42138	9.73482	0.10534
-0.43096	9.72046	0.10056
-0.43574	9.73004	0.09577
-0.43096	9.71088	0.10534
-0.43096	9.73961	0.10056
-0.42617	9.73961	0.11013
-6.12916	3.04064	7.02938
-6.13394	3.055	7.02938
-6.11958	3.05979	7.02938
-6.11958	3.05021	7.02459
-6.12437	3.05021	7.03895
-6.12916	3.05979	7.03416
-6.12916	3.05979	7.03895
-6.13394	3.05021	7.03416
-6.14352	3.05021	7.02938
-6.11958	3.04542	7.04374
-6.13394	3.05021	7.03895
-6.12916	3.055	7.03416
-6.12437	3.04064	7.03416
-6.12437	3.05021	7.03895
-6.13873	3.055	7.04374
-6.11958	3.05979	7.03416
-6.12916	3.055	7.04853
-6.11479	3.05021	7.03416
-6.12437	3.05979	7.03895
-6.11958	3.04064	7.03895
-6.12916	3.04542	7.03895
-6.11479	3.05979	7.04374
-6.12437	3.05021	7.04374
-6.12916	3.055	7.03416
-6.12437	3.05979	7.04374
-6.12437	3.06458	7.03416
-4.29999	-0.16759	8.83939
-4.29041	-0.17238	8.89685
-4.2952	-0.17238	8.84897
-4.30956	-0.17238	8.8346
-4.29999	-0.17238	8.8777
-4.2952	-0.18675	8.84897
-4.29999	-0.18675	8.86812
-4.29041	-0.16281	8.83939
-4.29999	-0.18196	8.88728
-4.29999	-0.16759	8.86333
-4.2952	-0.16759	8.84897
-4.2952	-0.16281	8.8346
-4.2952	-0.16759	8.90643
-4.2952	-0.15802	8.85376
-4.30477	-0.17717	8.82982
-4.30477	-0.18196	8.89685
-4.29041	-0.17238	8.88249
-4.29041	-0.18675	8.80587
-4.29041	-0.17717	8.91601
-4.29041	-0.16759	8.86812
-4.2952	-0.18196	8.82982
-4.29999	-0.16759	8.86812
-4.29999	-0.17238	8.88728
-4.2952	-0.17717	8.82024
-6.94797	3.33752	-5.66947
-6.95755	3.33273	-5.63116
-6.95276	3.35188	-5.66947
-6.96713	3.35188	-5.63116
-6.94797	3.32794	-5.66947
-6.95276	3.35667	-5.65989
-6.94797	3.33752	-5.63595
-6.96713	3.35188	-5.66947
-6.93361	3.35188	-5.62159
-6.97192	3.34231	-5.67905
-6.94797	3.34231	-5.61201
-6.95276	3.33752	-5.66947
-6.94318	3.35667	-5.63116
-6.95755	3.34709	-5.65989
-6.9384	3.33752	-5.65989
-6.94797	3.35667	-5.65989
-6.94318	3.34231	-5.65989
-6.95755	3.33752	-5.65989
-6.94318	3.35188	-5.6551
-6.95276	3.34231	-5.64074
-6.94797	3.34709	-5.65989
-6.93361	3.33752	-5.63116
-6.93361	3.34231	-5.66947
-6.94318	3.35667	-5.63116
-6.94797	3.34231	-5.67426
-6.94318	3.35188	-5.65989
-6.94318	3.34231	-5.66947
-6.96713	3.34709	-5.6551
-6.91924	3.33752	-5.6551
-6.94797	3.36146	-5.68384
-6.93361	3.33752	-5.66468
-6.93361	3.33752	-5.66947
-6.92403	3.32315	-5.67426
-6.95755	3.34231	-5.67905
-6.92403	3.33273	-5.64553
-6.94318	3.33273	-5.68384
-6.92882	3.33752	-5.63595
-6.94318	3.32794	-5.67905
-6.9384	3.34231	-5.64553
-6.93361	3.33752	-5.68384
-6.95755	3.33273	-5.66947
-6.95276	3.34709	-5.66947
-6.93361	3.32794	-5.67905
-6.95276	3.34709	-5.6551
-6.9384	3.33752	-5.67426
-6.9384	3.33752	-5.66947
-6.92882	3.34709	-5.6551
-4.86502	1.84832	-7.94875
-4.86502	1.85311	-7.97269
-4.85065	1.84832	-7.93917
-4.85544	1.83396	-7.94875
-4.86023	1.85311	-7.94875
-4.86981	1.83396	-7.95354
-4.85544	1.84354	-7.93917
-4.86981	1.85311	-7.9679
-4.85544	1.84832	-7.93917
-4.86502	1.85311	-7.95833
-4.86023	1.84354	-7.94875
-4.86023	1.84354	-7.95354
-4.85065	1.84354	-7.94875
-4.86502	1.84832	-7.97269
-4.84586	1.84354	-7.95354
-4.86023	1.85311	-7.96311
-4.85065	1.83875	-7.94875
-4.85065	1.84354	-7.95833
-4.85544	1.84354	-7.95354
-4.84108	1.83875	-7.94875
-4.85544	1.83875	-7.95833
-4.85544	1.84354	-7.9296
-4.86023	1.83875	-7.9679
-4.84586	1.83396	-7.94396
-4.84586	1.84354	-7.97269
-4.85544	1.84832	-7.97269
-4.86023	1.83875	-7.94396
-4.85065	1.83396	-7.9679
