t,relPosX,relPosY,relPosZ,lat,lon,worldVelX,worldVelY,worldVelZ,worldAccX,worldAccY,worldAccZ,qW,qX,qY,qZ,bodyAccX,bodyAccY,bodyAccZ,bodyGyrX,bodyGyrY,bodyGyrZ
0.002,4.19E-06,4.21E-06,5.50E-05,28.61,-80.6,0.006295548,0.006313576,0.085735788,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.004,3.36E-05,3.37E-05,4.79E-04,28.61,-80.6,0.025220552,0.02526073,0.372423624,6.303493647,6.314366475,92.27670364,0.999048222,-0.030843565,0.030843565,0,0.592619118,0.603491946,92.70318167,0,0,0
0.006,1.14E-04,1.14E-04,0.001680921,28.61,-80.6,0.056786841,0.056851275,0.86348622,12.62221004,12.63360656,194.4243755,0.999048222,-0.030843565,0.030843565,0,0.592090599,0.603487123,195.241008,0,0,0
0.008,2.69E-04,2.70E-04,0.004069388,28.61,-80.6,0.101000502,0.101095012,1.55908211,18.94459564,18.9577561,296.6514349,0.999048222,-0.030843565,0.030843565,0,0.590322444,0.603482906,297.8584485,0,0,0
0.01,5.26E-04,5.27E-04,0.008053714,28.61,-80.59999999,0.157789939,0.158001768,2.459373857,25.2693269,25.28679329,398.957616,0.999048222,-0.030843565,0.030843565,0,0.586010037,0.603476426,400.5551554,0,0,0
0.012,9.09E-04,9.10E-04,0.014043449,28.61000001,-80.59999999,0.227215543,0.22758113,3.564515275,31.55016148,31.62072794,501.3454007,0.999048222,-0.030843565,0.030843565,0,0.532846052,0.603412517,503.330752,0,0,0
0.014,0.001443174,0.001445282,0.022448446,28.61000001,-80.59999999,0.30928824,0.309842743,4.874662953,37.87511082,37.95943952,603.8091423,0.999048222,-0.030843565,0.030843565,0,0.5190227,0.603351398,606.1850295,0,0,0
0.016,0.002153385,0.002156603,0.033679011,28.61000002,-80.59999998,0.403039489,0.403593991,6.390108284,43.70181321,43.70181321,706.4194885,0.999048222,-0.030843565,0.030843565,0,7.11E-15,-1.42E-14,709.1178962,0,0,0
0.017,0.002581979,0.002585751,0.040482194,28.61000002,-80.59999997,0.454677644,0.455232146,7.224815056,50.0502408,50.0502408,809.0388684,0.999048222,-0.030843565,0.030843565,0,7.11E-15,-1.78E-14,812.1292655,0,0,0
0.0185,0.003323633,0.003328237,0.052283426,28.61000003,-80.59999997,0.534032416,0.534586919,8.507548048,53.22627293,53.22627293,860.3779509,0.999048222,-0.030843565,0.030843565,0,1.42E-14,-1.07E-14,863.6644549,0,0,0
0.0205,0.004496283,0.004501995,0.070989087,28.61000004,-80.59999995,0.63832963,0.638884133,10.19346401,52.57996292,52.57996292,849.9306501,0.999048222,-0.030843565,0.030843565,0,1.07E-14,-1.42E-14,853.1772471,0,0,0
0.023,0.006252597,0.006259696,0.099067004,28.61000006,-80.59999994,0.766271864,0.766826366,12.26159073,51.71702293,51.71702293,835.9816265,0.999048222,-0.030843565,0.030843565,0,1.07E-14,-1.42E-14,839.1749405,0,0,0
0.025,0.007886881,0.007895089,0.125234771,28.61000007,-80.59999992,0.868246085,0.868800588,13.90995659,50.63638381,50.63638381,818.5135976,0.999048222,-0.030843565,0.030843565,0,7.11E-15,-2.13E-14,821.6401866,0,0,0
0.027,0.009726518,0.009735835,0.154721962,28.61000009,-80.5999999,0.971624504,0.972179006,15.58102065,51.33799875,51.33799875,829.8548768,0.999048222,-0.030843565,0.030843565,0,1.78E-14,-3.55E-15,833.0247876,0,0,0
