t,relPosX,relPosY,relPosZ,lat,lon,worldVelX,worldVelY,worldVelZ,worldAccX,worldAccY,worldAccZ,qW,qX,qY,qZ,bodyAccX,bodyAccY,bodyAccZ,bodyGyrX,bodyGyrY,bodyGyrZ
0.002,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.004,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.006,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.008,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.01,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.012,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.014,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.016,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.018,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.02,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.022,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.024,1.25E-06,3.69E-07,1.03E-08,45,1.59E-11,0.001571801,4.69E-04,1.55E-04,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.026,6.36E-06,1.94E-06,1.76E-06,45,8.09E-11,0.003561649,0.001118496,0.001877644,0.966110188,0.300713551,0.434483681,0.999048222,-0.030843565,0.030843565,0,0.936923323,0.271526686,0.510902681,0,0,0
0.028,1.56E-05,4.91E-06,8.66E-06,45,1.98E-10,0.005666812,0.001862968,0.005307395,1.023744712,0.348408517,1.288070347,0.999048222,-0.030843565,0.030843565,0,0.941752247,0.266416052,1.367732481,0,0,0
