t,relPosX,relPosY,relPosZ,lat,lon,worldVelX,worldVelY,worldVelZ,worldAccX,worldAccY,worldAccZ,qW,qX,qY,qZ,bodyAccX,bodyAccY,bodyAccZ,bodyGyrX,bodyGyrY,bodyGyrZ
0.002,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.004,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.006,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.008,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.01,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.012,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.014,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.016,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.018,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.02,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.022,0,0,0,45,0,0,0,0,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.024,9.01E-07,7.18E-07,1.03E-08,45,1.15E-11,0.00113464,9.07E-04,1.55E-04,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.026,4.61E-06,3.70E-06,1.76E-06,45,5.86E-11,0.002591124,0.002089566,0.001877682,0.70187496,0.565084484,0.434494693,0.999048222,-0.030843565,0.030843565,0,0.672687158,0.535896682,0.510922015,0,0,0
0.028,1.13E-05,9.15E-06,8.66E-06,45,1.44E-10,0.004153078,0.003378015,0.005307429,0.754609224,0.617844224,1.288072851,0.999048222,-0.030843565,0.030843565,0,0.672616033,0.535851034,1.367753478,0,0,0
